Date,Price,Open,High,Low,Vol.,Change %
10-09-2025,59.36,59.8,60.79,57.4,40.06M,-0.79%
09-09-2025,59.83,60.85,62,57.13,30.95M,-0.52%
08-09-2025,60.14,60.4,64.35,59.9,330.27M,0.37%
05-09-2025,59.92,64.1,64.72,59.32,475.35M,-7.10%
04-09-2025,64.5,69.49,71.25,63.71,747.22M,-6.51%
03-09-2025,68.99,62.44,70.25,61.15,1.04B,11.35%
02-09-2025,61.96,64.01,65.45,61.63,763.53M,-0.83%
01-09-2025,62.48,55.2,63.79,54.5,1.08B,15.60%
29-08-2025,54.05,55.31,57.5,53.71,496.97M,-1.44%
28-08-2025,54.84,51.15,56.22,51.15,779.43M,7.91%
26-08-2025,50.82,48.54,51.8,47.81,471.16M,4.63%
25-08-2025,48.57,47.49,49.4,46.65,262.02M,2.92%
22-08-2025,47.19,49,49.75,46.86,268.23M,-3.32%
21-08-2025,48.81,53.98,54.6,48.5,564.36M,-8.27%
20-08-2025,53.21,45.4,53.79,45.4,1.11B,18.69%
19-08-2025,44.83,41.56,45.7,41.4,583.19M,8.71%
18-08-2025,41.24,43,43.03,40.83,94.67M,-0.17%
14-08-2025,41.31,40.8,43,40.52,184.22M,2.00%
13-08-2025,40.5,40.01,42.2,39.91,106.67M,1.71%
12-08-2025,39.82,40,40.5,39.7,19.82M,-0.05%
11-08-2025,39.84,40.34,40.8,39.7,25.53M,-0.72%
08-08-2025,40.13,40.4,40.75,40.05,19.72M,-0.32%
07-08-2025,40.26,40.24,40.55,39.75,28.36M,-0.12%
06-08-2025,40.31,41.1,41.2,40.15,23.07M,-1.37%
05-08-2025,40.87,41.01,41.34,40.72,21.14M,0.05%
04-08-2025,40.85,40.64,41.93,40.37,43.86M,0.74%
01-08-2025,40.55,41.5,42.02,40.02,44.53M,-1.84%
31-07-2025,41.31,41.65,42.05,41.05,32.58M,-2.02%
30-07-2025,42.16,41.85,42.49,41.6,46.74M,1.08%
29-07-2025,41.71,41.45,42.34,40.92,65.13M,1.02%
28-07-2025,41.29,41.13,43.35,40.72,147.25M,0.15%
25-07-2025,41.23,42.58,42.58,41.06,40.11M,-3.22%
24-07-2025,42.6,42.95,44.35,42.34,136.15M,-1.05%
23-07-2025,43.05,40.35,43.95,39.9,255.81M,7.17%
22-07-2025,40.17,40.9,41.28,40.01,44.10M,-1.40%
21-07-2025,40.74,41.31,41.59,40.57,44.98M,-1.38%
18-07-2025,41.31,42.31,42.33,41.05,51.26M,-2.02%
17-07-2025,42.16,42.39,43.85,41.42,168.36M,-0.31%
16-07-2025,42.29,44.48,44.48,41.94,183.43M,-4.10%
15-07-2025,44.1,48.4,48.9,43.6,418.94M,-6.31%
14-07-2025,47.07,39.92,47.76,39.6,597.33M,18.27%
11-07-2025,39.8,40,40.34,39.62,28.63M,-0.38%
10-07-2025,39.95,40.51,40.63,39.82,25.76M,-1.06%
09-07-2025,40.38,41.01,41.26,40.12,24.64M,-0.93%
08-07-2025,40.76,41.56,41.61,40.7,21.38M,-1.85%
07-07-2025,41.53,41.86,41.96,41.01,20.95M,-0.48%
04-07-2025,41.73,40.66,42.59,40.46,85.83M,2.76%
03-07-2025,40.61,41.2,41.75,40.4,58.66M,-1.10%
02-07-2025,41.06,42.4,42.59,40.81,37.90M,-2.28%
01-07-2025,42.02,43.43,44.1,41.82,39.20M,-2.64%
30-06-2025,43.16,43.3,43.49,43.05,20.48M,0.16%
27-06-2025,43.09,43.24,44.35,43,41.01M,-0.16%
26-06-2025,43.16,43.54,43.6,43.01,16.26M,-0.23%
25-06-2025,43.26,43.9,44.12,43.18,23.96M,-0.76%
24-06-2025,43.59,44,44.85,43.48,38.88M,0.60%
23-06-2025,43.33,45.85,45.85,43.16,94.73M,-5.97%
20-06-2025,46.08,45.7,46.3,45.52,15.06M,1.34%
19-06-2025,45.47,46.15,46.58,45.05,21.70M,-1.41%
18-06-2025,46.12,46.51,46.7,46.01,11.82M,-0.84%
17-06-2025,46.51,46.94,47.56,46.37,13.43M,-0.49%
16-06-2025,46.74,47.07,47.43,45.94,14.96M,-0.49%
13-06-2025,46.97,46.4,47.12,46.32,17.13M,-0.61%
12-06-2025,47.26,48.45,48.78,47.1,23.75M,-2.40%
11-06-2025,48.42,49.23,49.36,48.07,20.52M,-1.20%
10-06-2025,49.01,49.67,50.07,48.95,17.57M,-0.53%
09-06-2025,49.27,48.92,49.69,48.9,20.63M,1.23%
06-06-2025,48.67,49.36,49.4,48.57,19.21M,-0.75%
05-06-2025,49.04,50.45,50.45,48.81,33.10M,-1.90%
04-06-2025,49.99,49.9,50.4,48.8,38.45M,1.34%
03-06-2025,49.33,52,52,49.05,277.61M,-8.10%
02-06-2025,53.68,50.5,54.4,49.7,86.12M,5.34%
30-05-2025,50.96,48.24,51.25,48.06,70.82M,-4.28%
29-05-2025,53.24,52.91,53.68,52.3,22.07M,0.62%
28-05-2025,52.91,52.6,53.6,52.54,18.66M,0.78%
27-05-2025,52.5,52.55,53.19,52.16,17.77M,-0.04%
26-05-2025,52.52,52.9,53.61,52.3,17.87M,-0.74%
23-05-2025,52.91,51.56,55.28,51.01,68.35M,2.80%
22-05-2025,51.47,51.02,51.77,50.82,12.46M,0.18%
